NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
3-LEGGED DOG INC,White,multidisciplinary,N,N,n/a,N,NA,NA,1,88000,-99288,9570,-355023,776964,421941,104409,10006-2206,199909,2011
A GATHERING OF THE TRIBES INC,White,multidisciplinary,Y,N,n/a,Y,NA,NA,NA,NA,-216448,-227453,11002,78958,89960,83616,10009-8973,199305,2011
A PUBLIC SPACE LITERARY PROJECTS INC,White,literary arts,N,N,n/a,N,NA,NA,NA,NA,-16825,46637,24558,273056,297614,268399,11217-1906,200711,2011
ACTORS THEATRE WORKSHOP INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-71264,NA,1316,136092,137408,118612,10001-6114,199101,2011
AFRICAN DIASPORA FILM FESTIVAL INC,Black,film/electronic/media,Y,Y,n/a,NA,NA,NA,NA,NA,-3016,175,-3191,68705,65514,35050,10025-2086,200810,2011
AFRICAN POETRY THEATRE INC,Black,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,NA,-114697,95788,18909,289995,308904,285482,11432-5503,198001,2011
ALLIANCE FOR THE DEVELOPMENT OF THEATRE ARTISTS INC,White,theater,N,N,n/a,Y,NA,NA,NA,NA,-14296,-24823,10527,135453,145980,57200,10018-8651,197906,2011
ALWAN FOUNDATION INC,Middle Eastern,multidisciplinary,Y,Y,n/a,NA,NA,NA,NA,NA,-8091,-6442,-1649,193393,191744,100729,10004-0000,200407,2011
AMERICAN BOLERO DANCE COMPANY INC,Hispanic/Latino,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-2108,-1804,-304,33843,33539,8397,11101-4916,199810,2011
AMERICAN FOLK ART MUSEUM,White,folk arts/heritage,N,N,n/a,N,NA,NA,NA,NA,-4305542,-559992,-3745550,11291125,7545575,4531347,10023-7503,196407,2011
AMERICAN JEWISH HERITAGE ORGANIZATION INC,White,folk arts/heritage,N,N,Religion: Jewish,N,NA,NA,NA,NA,-4870,-10504,5634,43248,48882,48872,10024-1158,198409,2011
AMERICAN MODERN ENSEMBLE,White,music: classical,N,N,n/a,N,NA,NA,NA,NA,-12283,-17032,4749,77793,82542,43492,10036-0000,200708,2011
AMERICAN TAP DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,NA,3,55000,-137060,-131927,-5133,560130,554997,186720,10014-2840,198803,2011
ANDREW JANNETTI & DANCERS,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-9756,NA,-644,44924,44280,1380,10012-3568,198602,2011
ARCHIVE OF CONTEMPORARY MUSIC,White,music: other,N,N,n/a,N,NA,NA,1,200000,-47265,-48221,956,268269,269225,224456,10013-3508,198611,2011
