NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
14TH FACTORY FOUNDATION,White,visual arts,N,N,n/a,MD,closed?,NA,NA,-2390138,-2260958,-129180,2183282,2054102,2054000,10010-2913,201507,NA,2018
5TH FLOOR THEATRE COMPANY,White,theater,Y,N,n/a,Y,NA,NA,NA,-503,2889,-1857,28822,26965,9386,10011-2614,201707,NA,2018
ABINGDON THEATRE COMPANY,White,theater,N,N,n/a,Y,NA,7,91558,-313556,-38883,-274673,738602,463929,244710,11106-2791,199404,NA,2018
ACTORS COMPANY THEATRE INC,White,theater,N,N,n/a,N,NA,2,18500,-59478,NA,-75655,583296,507641,375300,10003-1210,199207,NA,2018
ACTORS FUND HOUSING DEVELOPMENT CORPORATION,White,theater,N,N,n/a,Y,NA,NA,NA,-3565156,-3145950,-815187,3130486,2315299,821746,10019-6895,201101,NA,2018
ALL FOR ONE THEATER FESTIVAL INC,White,theater,N,N,n/a,N,NA,1,20000,-11254,27210,-38464,484989,446525,424092,10019-6833,201209,NA,2018
ALMANACK ARTS COLONY INC,White,multidisciplinary,N,N,n/a,N,NA,4,20375,-49659,-60763,11104,200200,211304,209527,10010-6908,201602,NA,2018
ALPHA OMEGA 1-7 THEATRICAL DANCE,Black,dance: other,Y,Y,n/a,NA,NA,NA,NA,-607,-717,110,88666,88776,0,10003-8903,197611,NA,2018
ALWAN FOUNDATION INC,Middle Eastern,multidisciplinary,Y,Y,n/a,NA,NA,NA,NA,-25694,-35856,10164,201287,211451,101565,10018-1411,200407,NA,2018
AMERICAN ACADEMY OF BALLET PERFORMANCE AWARDS INC,White,dance: ballet,N,N,n/a,N,NA,NA,NA,-72777,33289,-106068,736249,630181,630181,10024-1100,200002,NA,2018
AMERICAN AGORA FOUNDATION INC,White,literary arts,N,N,n/a,NA,NA,9,234300,-692848,-789230,-6353,3277923,3271570,1441472,10003-2112,200607,NA,2018
AMERICAN DANCE MACHINE FOR THE 21ST CENTURY FOUNDATION INC,White,theater,N,N,n/a,N,NA,2,15000,-71113,-103158,32045,257462,289507,142533,10075-0189,201211,NA,2018
AMERICAN SYMPHONY ORCHESTRA INC,White,music: classical,N,N,n/a,N,NA,2,10000,-1044011,-1037901,-6110,2540173,2534063,1707166,10019-5483,196412,NA,2018
AMERICAN TAP DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,2,105000,-73575,-44598,-28977,794987,766010,361573,10014-2840,198803,NA,2018
AMORALISTS INC,White,theater,N,N,n/a,Y,closed?,NA,NA,-2368,-6662,4294,38935,43229,0,10034-4209,201503,NA,2018
ANAKAWONA CULTURAL ASSOCIATION INC,Black,dance: other,N,Y,Youth,NA,NA,NA,NA,-4750,-4730,0,0,0,0,11691-1919,201108,NA,2018
