NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# Foundation Grants,$Amt Foundation Grants,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
14TH FACTORY FOUNDATION,White,visual arts,N,N,n/a,MD,closed?,NA,NA,-2390138,-2260958,-129180,2183282,2054102,2054000,10010-2913,201507,NA,2019
5TH FLOOR THEATRE COMPANY,White,theater,Y,N,n/a,Y,NA,NA,NA,-1651,-503,-1148,11614,10466,6430,10011-2696,201707,NA,2019
ACTORS COMPANY THEATRE INC,White,theater,N,N,n/a,N,NA,NA,NA,-59478,NA,-75655,583296,507641,375300,10003-1210,199207,NA,2019
ACTORS FUND HOUSING DEVELOPMENT CORPORATION,White,theater,N,N,n/a,Y,NA,NA,NA,-3492653,-3565156,154352,3540922,3695274,776964,10019-6895,201101,NA,2019
ALL FOR ONE THEATER FESTIVAL INC,White,theater,N,N,n/a,N,NA,3,38250,-27104,NA,7304,399995,407299,371629,10019-6833,201209,NA,2019
ALMANACK ARTS COLONY INC,White,multidisciplinary,N,N,n/a,N,NA,2,152000,-13910,-49659,35748,208221,243969,218069,10010-6908,201602,NA,2019
ALPHA OMEGA 1-7 THEATRICAL DANCE,Black,dance: other,Y,Y,n/a,NA,NA,NA,NA,-607,-717,110,88666,88776,0,10003-8903,197611,NA,2019
ALWAN FOUNDATION INC,Middle Eastern,multidisciplinary,Y,Y,n/a,NA,NA,NA,NA,-29999,-25694,-11319,176434,165115,123955,10018-1411,200407,NA,2019
AMERICAN ACADEMY OF BALLET PERFORMANCE AWARDS INC,White,dance: ballet,N,N,n/a,N,NA,NA,NA,-54756,-72777,-57096,1067303,1010207,1010207,10024-1100,200002,NA,2019
AMERICAN AGORA FOUNDATION INC,White,literary arts,N,N,n/a,NA,NA,8,330000,-596940,-692848,95908,2920905,3016813,1364912,10003-2112,200607,NA,2019
AMERICAN DANCE MACHINE FOR THE 21ST CENTURY FOUNDATION INC,White,theater,N,N,n/a,N,NA,1,5000,-78808,-71113,-7695,82411,74716,59383,10075-0189,201211,NA,2019
AMERICAN MODERN ENSEMBLE,White,music: classical,N,N,n/a,N,NA,2,7500,-14295,-9424,-4871,253283,248412,119775,10036-6316,200708,NA,2019
AMERICAN SONGBOOK ASSOCIATION INC,White,music: other,N,N,n/a,N,NA,3,6600,-6655,963,-7618,129242,121624,101784,10025-1594,197903,NA,2019
AMERICAN SYMPHONY ORCHESTRA INC,White,music: classical,N,N,n/a,N,NA,4,33750,-1034559,-1044011,9452,2303595,2313047,1386230,10019-5443,196412,NA,2019
AMERICAN TAP DANCE FOUNDATION INC,White,dance: other,N,N,n/a,N,NA,2,100200,-96853,-73575,-23278,760038,736760,348576,10014-2840,198803,NA,2019
ANAKAWONA CULTURAL ASSOCIATION INC,Black,dance: other,N,Y,Youth,NA,NA,NA,NA,-4750,-4730,0,0,0,0,11691-1919,201108,NA,2019
ANONYMOUS ENSEMBLE INC,White,theater,N,N,n/a,N,NA,NA,NA,-12800,-13500,1751,45285,47036,19422,11225-2008,201508,NA,2019
APPLES AND ORANGES ART INC,White,theater,N,N,n/a,N,NA,NA,NA,-133560,14113,-147673,294384,146711,146711,10019-0077,201405,NA,2019
ARDEA ARTS INC,White,opera,N,N,n/a,N,NA,3,25500,-33060,-30591,-2469,270015,267546,267546,10013-2654,200612,NA,2019
ARIRANG FOUNDATION INC,Asian/Pacific Islander,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,-6080,-4000,-2080,11080,9000,9000,11354-2501,201507,NA,2019
ART START INCORPORATED,Multiracial,multidisciplinary,Y,Y,Youth,NA,NA,6,73025,-90954,-59965,-30989,705808,674819,674819,10001-5521,199904,NA,2019
ART STORY FOUNDATION,White,visual arts,N,N,n/a,N,NA,NA,NA,-11466,-5944,-5522,62272,56750,8854,10023-2762,200904,NA,2019
ARTE INSTITUTE INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-1180,9225,-10405,168014,157609,74500,10013-1526,201201,NA,2019
ARTS & BUSINESS COUNCIL OF NEW YORK INC,White,multidisciplinary,Y,N,n/a,Y,merged w amer. Ft arts?,1,25000,-172669,-169988,-2681,21353,18672,16410,10022-4242,197309,NA,2019
ARTS & EDUCATION CONTINUUM INC,Black,music: other,N,Y,n/a,NA,closed?,NA,NA,-1285,-2337,1052,93646,94698,94698,10116-8171,200511,NA,2019
ARTS HOUSE SCHOOLS INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-1542,-1457,-85,242583,242498,123368,11224-2810,200806,NA,2019
ARTSTOR INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-1321093,-2650608,1347355,9765384,11112739,0,NA,200306,NA,2019
ASIAN AMERICAN ARTS CENTER INC,Asian/Pacific Islander,visual arts,N,Y,n/a,NA,NA,NA,NA,-22974,-1574,-21400,23150,1750,1750,10002-3389,201611,NA,2019
ASIAN CINE-VISION INC,Asian/Pacific Islander,film/electronic/media,N,Y,n/a,NA,NA,NA,NA,-209316,-207284,-2032,159978,157946,157946,10027-5011,198704,NA,2019
AUSCHWITZ JEWISH CENTER FOUNDATION INC,White,folk arts/heritage,Y,N,Religion: Jewish,N,NA,1,1250,-1483110,-749879,-685897,860438,174541,37960,10280-1502,199612,Cultural Heritage,2019
AUSTRALIAN INTERNATIONAL SCREEN FORUM INC,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,-361045,-210042,-151302,377246,225944,216410,11106-1356,201907,NA,2019
AYAZAMANA CULTURAL CENTER INC,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,closed?,NA,NA,-32542,-15324,-14442,133777,119335,43086,11103-1706,201407,Cultural Heritage,2019
BAFFLER FOUNDATION INC,White,literary arts,N,N,n/a,N,NA,1,12150,-29887,121950,-152531,2259100,2106569,1803466,10010-6845,201109,NA,2019
BALLET FOR YOUNG AUDIENCES BALLET REPERTORY LTD OF NEW YORK CITY,White,dance: ballet,N,N,Youth,N,closed?,NA,NA,-1758,5883,-7641,45291,37650,0,11101-5000,199505,NA,2019
BAR HARBOR FESTIVAL CORPORATION,White,music: classical,N,N,n/a,N,NA,3,9050,-52676,-53066,390,301118,301508,214487,10025-6222,196712,NA,2019
BLACK GIRLS ROCK INC,Black,music: other,Y,Y,Youth,NA,NA,NA,NA,-188786,NA,29550,127697,157247,82650,11238-1916,201502,NA,2019
BLESSED UNREST THEATRE INC,White,theater,N,N,n/a,N,closed,3,30470,-7088,-15924,8836,112840,121676,88932,10036-3477,200305,NA,2019
BOOKLYN INCORPORATED,White,literary arts,Y,N,n/a,Y,NA,NA,NA,-232169,-227780,-4389,367208,362819,32614,11220-2521,200304,NA,2019
BORN DANCING INC,White,dance: other,Y,N,Disability,Y,NA,1,5000,-33940,-28488,-5451,49118,43667,39698,10033-4555,201411,NA,2019
BRAVE NEW WORLD REPERTORY THEATRE,White,theater,N,N,n/a,N,NA,NA,NA,-1989,-4568,2579,66971,69550,55255,11218-4350,200705,NA,2019
BREAKING WALLS INC,Multiracial,other,Y,Y,Youth,NA,NA,NA,NA,-5549,-4721,-6975,52272,45297,45297,10014-1608,201310,NA,2019
BRONX DANCE THEATRE INC,Black,dance: other,N,Y,Youth,NA,closed 2020?,NA,NA,-12579,26775,-39354,641653,602299,278440,NA,198308,NA,2019
BROOKLYN BAKU FRIENDSHIP ASSOCIATION INC,White,folk arts/heritage,Y,N,n/a,N,closed?,NA,NA,-4197,1,-17256,41503,24247,24247,11223-0000,201603,NA,2019
BROOKLYN BALLET INC,Multiracial,dance: ballet,N,Y,Youth,NA,NA,5,17000,-82556,-66540,-16016,779867,763851,185359,11201-5988,200206,NA,2019
BROOKLYNS THREE KINGS DAY PARADE INC,Multiracial,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-17056,-16541,-515,36540,36025,36025,11206-3374,194206,NA,2019
CAVE ORGANIZATION INC,White,multidisciplinary,N,N,n/a,N,NA,2,11000,-5881,32124,-36417,168674,132257,59148,11249-4199,200410,NA,2019
CHINESE AMERICAN ARTS COUNCIL INCORPORATED,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-71274,-134089,62815,133776,196591,174140,10013-5800,198209,NA,2019
CHINESE CULTURAL FOUNDATION INC,Asian/Pacific Islander,folk arts/heritage,Y,Y,n/a,NA,NA,2,16500,-78378,-67060,-11318,123401,112083,112083,10019-4919,200311,NA,2019
CHURCH STREET SCHOOL FOR MUSIC AND ART,White,multidisciplinary,Y,N,Youth,Y,NA,2,6000,-1798730,-1596851,-201879,1629771,1427892,290048,10013-3549,199402,NA,2019
CIRCUS AMOK INC,White,other,Y,N,LGBTQ+,N,NA,NA,NA,-6224,-7361,1137,15298,16435,13635,11249-7061,200012,NA,2019
CITY THEATRE PROJECT INC,White,theater,N,N,n/a,N,NA,NA,NA,-68613,NA,-8517,109687,101170,101170,10464-1328,201411,NA,2019
CLASSICAL SAXOPHONE PROJECT INC,White,music: classical,N,N,n/a,N,NA,1,20000,-3971,10398,-14369,80586,66217,45806,10036-1324,201406,NA,2019
CLEVELAND MUSICAL THEATRE INC,Hispanic/Latino,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-10101,-27390,17289,168616,185905,58451,10036-0000,201511,NA,2019
COLLABORATIVE URBAN SCULPTURE,White,visual arts,N,N,n/a,Y,NA,NA,NA,-53691,-40634,-22927,46397,23470,23470,11205-1202,199002,NA,2019
CONSTITUENT ARTS LIMITED,White,theater,N,N,n/a,MD,closed?,NA,NA,-1530,-3467,1937,36807,38744,33586,10016-6774,197908,NA,2019
CREATE 4 INC,White,social justice/social practice,Y,N,n/a,MD,NA,NA,NA,-1946,-1274,-672,672,0,0,NA,201511,NA,2019
CSC REPERTORY LTD,White,theater,N,N,n/a,Y,NA,11,137531,-73113,-25137,-51292,3445604,3394312,1201180,10003-5306,197110,NA,2019
CULTURAL AND EDUCATIONAL FOUNDATION INC,Asian/Pacific Islander,folk arts/heritage,N,Y,n/a,NA,NA,NA,NA,-4390,NA,-4390,5830,1440,1440,11230-4587,201905,NA,2019
CURRAN EVENTS INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-22270,-6017,-16253,160500,144247,46131,10003-9406,200109,NA,2019
DACAPO CHAMBER PLAYERS INC,White,music: classical,N,N,n/a,N,NA,3,20000,-10172,-15142,4970,96048,101018,60286,10024-1223,197208,NA,2019
DANCE PROJECT OF WASHINGTON HEIGHTS INC,White,dance: other,N,N,n/a,Y,NA,NA,NA,-9210,12095,-21305,399478,378173,115147,10032-1850,201502,NA,2019
DANCE RING,White,dance: ballet,N,N,Youth,N,NA,NA,NA,-19374,-58920,39899,734890,774789,401359,10003-0000,197902,NA,2019
DANIEL FERRO VOCAL PROGRAM INC,White,music: other,N,N,n/a,N,NA,NA,NA,-53511,-58325,4814,109111,113925,99918,10022-8511,199407,NA,2019
DOVA INC,White,dance: other,N,N,n/a,N,NA,7,107500,-88576,63269,-151845,709724,557879,344400,10013-2259,197107,NA,2019
DOWNTOWN MUSIC PRODUCTIONS INC,White,music: other,N,N,n/a,MD,closed?,1,1000,-1921,-11043,7429,26250,33679,33144,10003-7203,198611,NA,2019
DREAM DARE TO REVITALIZE EDUCATION THRU ARTS & MEDIATION INC,Multiracial,multidisciplinary,Y,Y,Youth,NA,closed?,NA,NA,-49771,131507,-124650,506890,382240,333024,10467-1936,201602,NA,2019
E MONTE MOTION INC,White,dance: other,N,N,n/a,N,"changed to emerge125, now an ooc",NA,NA,-24218,-32832,8614,351792,360406,194998,10027-3811,198209,NA,2019
